Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	21Aug20	10:51:00-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	1	1	365	12	31	1979	2648	0.0	5531.74	5651.04	114	68.6	2046.0	0.000	0.0	0.0	22967.28	112025.08	160916.283	82149.87	6253.77	5097.47	83.14	0	0	0	0	0	0	0	0	0	1	707.6
OliveGIS	21Aug20	10:51:00-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	2	1	730	12	30	1980	2632	0.0	8543.90	8770.59	104	93.2	1771.0	0.000	0.0	0.0	24205.09	118020.40	53907.845	21825.16	7000.26	6937.03	75.21	0	0	0	0	0	0	0	0	0	1	361.8
OliveGIS	21Aug20	10:51:00-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	3	1	1096	12	31	1981	2642	0.0	9568.61	10273.94	93	63.5	1735.6	0.000	0.0	0.0	29810.49	147921.42	68924.254	23325.03	8362.92	8138.99	75.50	0	0	0	0	0	0	0	0	0	1	322.2
OliveGIS	21Aug20	10:51:01-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	4	1	1461	12	31	1982	2661	0.0	8257.46	8397.33	100	67.4	1801.9	0.000	0.0	0.0	26541.67	129928.57	62327.225	19864.84	7481.09	6804.91	77.25	0	0	0	0	0	0	0	0	0	1	416.4
OliveGIS	21Aug20	10:51:01-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	5	1	1826	12	31	1983	2644	0.0	9859.06	10157.18	97	72.8	1731.0	0.000	0.0	0.0	41824.13	199798.51	101603.599	37635.56	10929.68	8784.07	82.06	0	0	0	0	0	0	0	0	0	1	496.4
OliveGIS	21Aug20	10:51:01-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	6	1	2191	12	30	1984	2627	0.0	8455.88	8954.49	114	77.8	2395.0	0.000	0.0	0.0	24843.46	128528.59	54660.346	15294.34	6425.49	6742.56	71.83	0	0	0	0	0	0	0	0	0	1	462.8
OliveGIS	21Aug20	10:51:02-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	7	1	2557	12	31	1985	2628	0.4	8296.93	8730.92	104	87.4	1690.3	0.000	0.0	0.0	24072.92	116684.03	53327.732	36381.70	6945.92	7004.98	75.41	0	0	0	0	0	0	0	0	0	1	523.1
OliveGIS	21Aug20	10:51:02-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	8	1	2922	12	31	1986	2644	0.0	7793.31	7974.97	123	91.1	1848.1	0.000	0.0	0.0	18361.94	98899.57	42596.578	10777.75	5385.57	5631.75	67.46	0	0	0	0	0	0	0	0	0	1	423.4
OliveGIS	21Aug20	10:51:02-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	9	1	3287	12	31	1987	2630	0.1	9165.04	9431.03	102	65.0	1540.8	0.000	0.0	0.0	27100.40	140166.48	69633.699	31863.12	8172.96	7452.50	75.51	0	0	0	0	0	0	0	0	0	1	733.2
OliveGIS	21Aug20	10:51:02-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	10	1	3652	12	30	1988	2631	0.0	8553.73	9377.85	105	59.5	1977.9	0.000	0.0	0.0	26162.08	132176.97	62412.453	22906.01	7986.66	7502.99	76.66	0	0	0	0	0	0	0	0	0	1	499.8
OliveGIS	21Aug20	10:51:03-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	11	1	4018	12	31	1989	2638	0.0	7399.84	8024.19	103	39.3	1560.7	0.000	0.0	0.0	20663.33	109098.76	49704.715	16266.91	6288.71	6165.89	73.45	0	0	0	0	0	0	0	0	0	1	875.7
OliveGIS	21Aug20	10:51:03-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	12	1	4383	12	31	1990	2633	0.0	8483.78	8963.21	90	62.9	1357.6	0.000	0.0	0.0	20590.07	104698.76	47291.963	14795.10	6335.79	6685.97	71.42	0	0	0	0	0	0	0	0	0	1	368.1
OliveGIS	21Aug20	10:51:03-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	13	1	4748	12	31	1991	2645	0.0	7920.24	8526.31	120	80.1	1888.2	0.000	0.0	0.0	17752.22	91910.44	39400.908	11341.44	5332.15	5950.49	66.87	0	0	0	0	0	0	0	0	0	1	476.7
