Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	21Aug20	10:51:00-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3	37	1	730	12	30	1980	2632.2	0	8543.9	8770.6	104	1	47.2	1771	361.8	0	0	0	24205.09	118020.4	53907.845	21825.16	7000.26	6937.03	75.21
OliveGIS	21Aug20	10:51:12-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1747_522_ESP-AN.txt	-5.4	37.9	1	730	12	30	1980	2612.6	0	6311.2	6563.5	128	1	98.6	2349	390.6	0	0	0	21163.1	105293.05	50726.46	42390.94	5892.98	5433.1	78.3
OliveGIS	21Aug20	10:51:22-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1773_532_ESP-AN.txt	-2.8	36.9	1	730	12	30	1980	1747.4	23.1	7864.7	9835.6	175	1	495.8	3658.5	408.3	0	0	0	49649.18	413618.82	437945.585	60730.81	9758.17	7162.49	69.59
OliveGIS	21Aug20	10:51:29-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1743_526_ESP-AN.txt	-5.8	37.5	1	730	12	30	1980	2639.8	0	7902.4	8247.6	109	1	70.3	1637.1	371.4	0	0	0	14001.78	75603.46	32753.812	10454.07	4710.38	5483.64	63.25
OliveGIS	21Aug20	10:51:41-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1752_517_ESP-AN.txt	-4.9	38.4	1	730	12	30	1980	2348.4	2	7296	7397.4	152	1	308.5	3004.7	393.3	0	0	0	33407.5	243661.07	256274.925	82377.27	7661.26	5847.76	76.89
OliveGIS	21Aug20	10:51:48-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1749_520_ESP-AN.txt	-5.2	38.1	1	730	12	30	1980	2584.9	2.1	6155.8	6288.5	142	1	230.9	2718.9	383.1	0	0	0	28520.92	187397.74	161474.512	82655.58	7021.78	5304.21	79.91
OliveGIS	21Aug20	10:51:56-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1750_519_ESP-AN.txt	-5.1	38.2	1	730	12	30	1980	2404.6	2.6	6973.8	7102	149	1	293.8	2948.5	410.4	0	0	0	32290.2	234781.37	230831.821	79494.36	7488.3	5703.48	78.05
OliveGIS	21Aug20	10:52:04-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1741_528_ESP-AN.txt	-6	37.3	1	730	12	30	1980	2624.4	0	8306.8	8624.1	106	1	58.9	1728.9	371.4	0	0	0	15611.23	82235.82	35603.456	12831.23	5028.58	5811.55	64.52
OliveGIS	21Aug20	10:52:15-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1775_530_ESP-AN.txt	-2.6	37.1	1	730	12	30	1980	2300.9	3.6	7426.3	7494.9	153	1	302.4	3026.5	466	0	0	0	41026.75	271153.99	295063.644	147230.39	9746.98	6231.16	80.41
OliveGIS	21Aug20	10:52:23-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1780_525_ESP-AN.txt	-2.1	37.6	1	730	12	30	1980	1831	6.2	6017.2	7187.6	172	1	478.1	3504.7	432.6	0	0	0	36857.73	258193.84	424885.696	65467.22	8013.7	5435.44	71.99
OliveGIS	21Aug20	10:52:29-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1745_524_ESP-AN.txt	-5.6	37.7	1	730	12	30	1980	2624.1	0	7615.2	8029.2	112	1	55.4	1662.6	403.5	0	0	0	14157	75456.27	32947.107	12503.85	4717.45	5423.08	64.41
OliveGIS	21Aug20	10:52:41-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1740_529_ESP-AN.txt	-6.1	37.2	1	730	12	30	1980	2631.8	0	8478.1	8772.2	102	1	56	1717.4	361.8	0	0	0	17564.98	90571.2	39579.848	13255.91	5470.61	6151.08	66.99
OliveGIS	21Aug20	10:52:52-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1774_531_ESP-AN.txt	-2.7	37	1	730	12	30	1980	1866.2	16.8	8455.2	9855.9	169	1	473.9	3502.1	579.7	0	0	0	50750.34	368464.64	466113.443	49249.82	10978.18	7289.45	71.21
OliveGIS	21Aug20	10:52:59-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1739_530_ESP-AN.txt	-6.2	37.1	1	730	12	30	1980	2631	0	8386.2	8579.3	104	1	55.9	1966.8	361.8	0	0	0	22589.56	110016.07	49313.119	20111.31	6406.08	6652.19	73.57
OliveGIS	21Aug20	10:53:10-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1748_521_ESP-AN.txt	-5.3	38	1	730	12	30	1980	2615.1	0	6499.1	6770.2	130	1	120.5	2368.9	390.6	0	0	0	23119.13	114756.12	58378.104	52278.28	6309.02	5695.79	79.28
OliveGIS	21Aug20	10:53:20-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1753_516_ESP-AN.txt	-4.8	38.5	1	730	12	30	1980	2398.4	4.4	6774.3	6890	148	1	333.8	2904.9	393.3	0	0	0	29613.31	208667.09	183473.652	68199.59	6637.37	5464.09	76.99
OliveGIS	21Aug20	10:53:28-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1744_525_ESP-AN.txt	-5.7	37.6	1	730	12	30	1980	2622.2	0	7656.7	8102.5	110	1	68.8	1613.5	403.5	0	0	0	12301.32	65579.93	27719.296	8646.69	4064	5064.18	59.83
OliveGIS	21Aug20	10:53:40-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1742_527_ESP-AN.txt	-5.9	37.4	1	730	12	30	1980	2638.2	0	8050.3	8383.3	107	1	64.8	1659.8	371.4	0	0	0	14927.97	79714.5	34660.37	11304.06	4929.54	5674	64.37
OliveGIS	21Aug20	10:53:52-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1751_518_ESP-AN.txt	-5	38.3	1	730	12	30	1980	2415.4	3.9	6810.4	6946	147	1	312.4	2902.8	410.4	0	0	0	31137.68	225854.02	218232.171	75300.16	7110.64	5577.35	77.98
OliveGIS	21Aug20	10:53:59-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1746_523_ESP-AN.txt	-5.5	37.8	1	730	12	30	1980	2623.1	0	6407.9	6659.8	120	1	63.7	2068.8	403.5	0	0	0	18105.36	90804.47	41935.199	29149.65	5354.34	5304.43	75.25
OliveGIS	21Aug20	10:54:10-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1737_532_ESP-AN.txt	-6.4	36.9	1	730	12	30	1980	2626.3	0	8471.7	8616.5	101	1	33.1	2102.7	364.6	0	0	0	36098.33	171442.71	87383.837	55745.02	9558.94	7668.34	83.3
