Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:06:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	1	365	12	31	1971	2285	17.0	695.38	698.52	132	432.0	3007.7	0.000	0.0	0.0	3802.62	23833.96	136294.030	59832.81	693.70	575.96	78.64	0	0	0	0	0	0	0	0	0	1	390.9
OliveGIS	08Feb21	4:06:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	2	1	730	12	30	1972	2520	9.0	8785.56	8889.99	143	335.2	2755.0	0.000	0.0	0.0	23428.56	165089.11	194684.735	17200.56	5166.73	4617.06	51.13	0	0	0	0	0	0	0	0	0	1	419.6
OliveGIS	08Feb21	4:06:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	3	1	1096	12	31	1973	2518	0.8	6615.13	6697.12	125	213.9	2957.4	0.000	0.0	0.0	31269.68	202974.74	241773.623	66383.48	7436.86	5154.96	74.15	0	0	0	0	0	0	0	0	0	1	548.2
OliveGIS	08Feb21	4:06:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	4	1	1461	12	31	1974	2613	3.9	6202.29	6184.54	128	339.1	2369.7	0.000	0.0	0.0	31506.92	179538.54	155075.994	88033.84	6770.97	5106.61	78.25	0	0	0	0	0	0	0	0	0	1	369.1
OliveGIS	08Feb21	4:06:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	5	1	1826	12	31	1975	2489	2.4	7052.48	7079.51	137	342.6	2735.0	0.000	0.0	0.0	26644.23	151584.92	157734.768	48146.43	5571.06	5113.94	70.57	0	0	0	0	0	0	0	0	0	1	311.4
OliveGIS	08Feb21	4:06:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	6	1	2191	12	30	1976	2527	7.6	6214.71	6258.07	143	333.3	2748.3	0.000	0.0	0.0	25262.11	156088.55	143267.556	39295.53	5238.90	4693.02	72.18	0	0	0	0	0	0	0	0	0	1	348.1
OliveGIS	08Feb21	4:06:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	7	1	2557	12	31	1977	2561	3.6	5566.50	5497.48	134	329.1	2801.6	0.000	0.0	0.0	23807.10	171697.87	147488.554	41514.04	5021.01	4115.11	72.20	0	0	0	0	0	0	0	0	0	1	435.2
OliveGIS	08Feb21	4:06:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	8	1	2922	12	31	1978	2374	5.2	5759.18	5801.76	153	380.4	3040.8	0.000	0.0	0.0	24136.33	160843.00	196440.742	50614.56	5076.09	3979.05	67.13	0	0	0	0	0	0	0	0	0	1	613.0
OliveGIS	08Feb21	4:06:17-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	9	1	3287	12	31	1979	2377	7.3	6630.64	6765.23	141	349.3	3053.4	0.000	0.0	0.0	32564.36	203511.34	213992.907	40642.79	6459.43	5036.08	72.17	0	0	0	0	0	0	0	0	0	1	576.4
OliveGIS	08Feb21	4:06:17-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	10	1	3652	12	30	1980	2380	5.2	6835.80	6948.79	138	337.4	2905.8	0.000	0.0	0.0	28513.15	192587.01	228701.141	56489.86	6496.49	5209.62	72.68	0	0	0	0	0	0	0	0	0	1	472.6
OliveGIS	08Feb21	4:06:17-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	11	1	4018	12	31	1981	2500	1.1	5428.29	6123.94	146	293.6	2881.1	0.000	0.0	0.0	27422.06	192791.94	215844.981	37349.65	6231.59	4465.23	71.16	0	0	0	0	0	0	0	0	0	1	499.4
OliveGIS	08Feb21	4:06:17-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	12	1	4383	12	31	1982	2626	4.8	6248.48	6400.74	135	245.1	2640.2	0.000	0.0	0.0	28625.26	186103.62	231893.587	50486.64	6733.37	5337.68	77.92	0	0	0	0	0	0	0	0	0	1	783.4
OliveGIS	08Feb21	4:06:18-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	13	1	4748	12	31	1983	2394	3.7	4072.56	5250.48	144	368.2	2962.3	0.000	0.0	0.0	19127.40	108544.37	124562.021	39851.75	3840.39	3673.49	68.25	0	0	0	0	0	0	0	0	0	1	367.4
OliveGIS	08Feb21	4:06:18-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	14	1	5113	12	30	1984	2458	6.4	4331.74	4752.25	143	386.9	2624.2	0.000	0.0	0.0	17570.33	119634.73	126070.145	18395.48	3728.96	3272.02	67.03	0	0	0	0	0	0	0	0	0	1	339.7
OliveGIS	08Feb21	4:06:18-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	15	1	5479	12	31	1985	2395	6.6	6976.66	7045.62	137	391.6	2740.6	0.000	0.0	0.0	31961.29	196375.54	205148.724	44152.81	6496.91	5380.87	74.41	0	0	0	0	0	0	0	0	0	1	349.7
OliveGIS	08Feb21	4:06:18-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	16	1	5844	12	31	1986	2611	2.3	2781.06	3637.44	137	305.7	2600.1	0.000	0.0	0.0	17526.00	106028.19	155743.452	34460.71	4043.87	3107.77	78.88	0	0	0	0	0	0	0	0	0	1	302.5
OliveGIS	08Feb21	4:06:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	17	1	6209	12	31	1987	2392	11.7	8338.39	8614.89	146	340.5	3032.9	0.000	0.0	0.0	45264.47	296260.23	284363.234	48954.73	9449.00	6486.24	73.73	0	0	0	0	0	0	0	0	0	1	567.6
OliveGIS	08Feb21	4:06:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	18	1	6574	12	30	1988	2625	4.2	6529.24	6470.39	140	272.8	2653.5	0.000	0.0	0.0	25947.56	141223.67	193951.644	50805.39	5981.04	5227.80	75.57	0	0	0	0	0	0	0	0	0	1	410.3
OliveGIS	08Feb21	4:06:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	19	1	6940	12	31	1989	2500	3.8	5928.43	6090.27	134	347.3	2783.6	0.000	0.0	0.0	35733.91	235437.49	225277.766	84442.56	7857.12	4921.70	78.97	0	0	0	0	0	0	0	0	0	1	308.7
OliveGIS	08Feb21	4:06:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	20	1	7305	12	31	1990	2596	2.9	6145.10	6260.97	129	265.4	2751.1	0.000	0.0	0.0	28930.26	163284.79	195364.158	68675.54	6630.88	5217.55	78.41	0	0	0	0	0	0	0	0	0	1	500.6
OliveGIS	08Feb21	4:06:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	21	1	7670	12	31	1991	2541	4.7	6947.33	6951.92	139	330.9	2739.3	0.000	0.0	0.0	27196.34	181908.59	182797.522	53904.02	6357.86	5060.72	70.36	0	0	0	0	0	0	0	0	0	1	545.6
OliveGIS	08Feb21	4:06:20-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	22	1	8035	12	30	1992	2287	5.7	6078.35	6109.05	147	330.5	3119.7	0.000	0.0	0.0	24588.97	158822.59	200910.107	34782.37	5132.99	4307.41	69.00	0	0	0	0	0	0	0	0	0	1	694.2
OliveGIS	08Feb21	4:06:20-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	23	1	8401	12	31	1993	2440	5.4	6710.75	6846.81	147	388.9	2772.2	0.000	0.0	0.0	31592.33	220562.59	198625.230	55617.90	6240.86	4898.81	70.16	0	0	0	0	0	0	0	0	0	1	407.5
