Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	1	365	12	31	1971	2615	0.5	6410.19	6313.92	122	134.0	2578.4	0.000	0.0	0.0	32313.54	158921.90	209789.004	98020.68	7472.35	5792.90	84.68	0	0	0	0	0	0	0	0	0	1	335.3
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	2	1	730	12	30	1972	2625	0.0	7484.55	7388.62	124	126.9	2375.1	0.000	0.0	0.0	28652.63	145226.06	71579.731	59990.88	6783.92	6116.70	78.64	0	0	0	0	0	0	0	0	0	1	446.9
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	3	1	1096	12	31	1973	2631	0.0	7138.16	7222.48	115	132.1	2123.8	0.000	0.0	0.0	22524.49	111495.59	48959.408	53245.15	5662.57	5776.47	75.60	0	0	0	0	0	0	0	0	0	1	122.8
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	4	1	1461	12	31	1974	2637	0.0	7818.50	7849.51	113	109.9	2444.4	0.000	0.0	0.0	36576.73	191298.96	104525.939	43552.25	8751.48	6836.83	82.28	0	0	0	0	0	0	0	0	0	1	652.0
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	5	1	1826	12	31	1975	2639	0.1	6864.56	6872.14	117	131.2	2181.6	0.000	0.0	0.0	24442.98	120645.66	57577.431	69211.44	6190.49	5769.20	78.98	0	0	0	0	0	0	0	0	0	1	253.5
OliveGIS	08Feb21	4:06:27-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	6	1	2191	12	30	1976	2638	0.8	9788.41	10007.56	107	150.6	2612.3	0.000	0.0	0.0	45502.39	250214.66	155486.328	58310.24	10958.78	8520.34	80.97	0	0	0	0	0	0	0	0	0	1	419.1
OliveGIS	08Feb21	4:06:27-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	7	1	2557	12	31	1977	2621	0.0	7365.59	7396.20	126	124.7	2580.1	0.000	0.0	0.0	36797.27	190608.53	111235.717	85341.00	8038.03	6476.44	82.06	0	0	0	0	0	0	0	0	0	1	376.1
OliveGIS	08Feb21	4:06:27-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	8	1	2922	12	31	1978	2639	0.0	6397.56	6456.54	106	88.9	2320.2	0.000	0.0	0.0	24957.13	120014.32	56935.084	82365.90	6243.64	5617.76	81.12	0	0	0	0	0	0	0	0	0	1	491.5
OliveGIS	08Feb21	4:06:27-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	9	1	3287	12	31	1979	2638	0.0	6977.19	7055.04	113	117.7	2595.5	0.000	0.0	0.0	33991.30	182728.71	103082.458	58734.06	8312.42	6139.21	82.41	0	0	0	0	0	0	0	0	0	1	230.1
OliveGIS	08Feb21	4:06:27-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	10	1	3652	12	30	1980	2629	0.0	7341.34	7332.59	115	139.9	2379.3	0.000	0.0	0.0	32761.99	166729.33	86900.917	66024.25	7763.93	6382.10	81.87	0	0	0	0	0	0	0	0	0	1	447.7
OliveGIS	08Feb21	4:06:28-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	11	1	4018	12	31	1981	2637	0.0	7162.55	7081.61	122	115.6	2672.4	0.000	0.0	0.0	30228.97	170072.68	108140.763	59113.06	7195.89	5810.76	77.83	0	0	0	0	0	0	0	0	0	1	614.8
