Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	1972	2624.9	0	7484.6	7388.6	124	1	99.5	2375.1	446.9	0	0	0	28652.63	145226.06	71579.731	59990.88	6783.92	6116.7	78.64
OliveGIS	08Feb21	4:06:32-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	1972	2616.3	1.6	9243.4	10197.3	133	1	157.2	2088.1	393.7	0	0	0	14816.7	71652.56	26677.309	7349.99	3598.06	5541.2	52
OliveGIS	08Feb21	4:06:39-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	1972	2050	8.8	10330.9	10938.3	155	1	426	3072.2	394.3	0	0	0	24739.75	182254.02	226880.299	6997.38	4766.8	4743.47	42.85
OliveGIS	08Feb21	4:06:45-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.25	1	730	12	30	1972	2640.7	0.4	6233.2	6701.5	116	1	90.1	2030.5	537.2	0	0	0	13687.73	69702.02	29310.615	8546.26	3876.05	4598.24	65.8
OliveGIS	08Feb21	4:06:52-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.75	1	730	12	30	1972	1952.7	7.2	9106.4	10101.3	159	1	468.1	3141.1	386.1	0	0	0	32189.81	258388.4	254981.187	16120.17	5518.68	5231.85	50.87
OliveGIS	08Feb21	4:06:57-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	1972	2621	0	6770.4	7029.7	124	1	82.4	2631.2	481	0	0	0	30285.35	154494.79	76406.955	41356.14	7227.56	6008.89	81.09
OliveGIS	08Feb21	4:07:04-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	1972	2648.5	0	6936	6809.2	109	1	11.4	2592.7	644.9	0	0	0	41625.45	222902.42	153207.338	119815.84	11912.38	6449.45	88.42
OliveGIS	08Feb21	4:07:10-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	1972	2631.3	0	6745.7	6956	121	1	63.1	2666.7	526.9	0	0	0	33376.25	172008.6	93165.816	62542.21	8282.9	6102.55	83.17
OliveGIS	08Feb21	4:07:16-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	1972	2595.6	3.5	10317.2	11243.2	137	1	203.6	2220.5	398.7	0	0	0	18994.03	104799.01	43377.213	9576.32	4624.01	6161.98	52.82
OliveGIS	08Feb21	4:07:23-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	1972	2642.1	0	6276.4	6552.3	110	1	42.2	2205.9	550.3	0	0	0	25912.36	134670.78	75578.595	30751.07	7814.98	5736.21	82.94
OliveGIS	08Feb21	4:07:30-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	1972	2588.9	0.2	7659.8	7603.9	138	1	147.7	2785.7	211.1	0	0	0	39677.68	234539.03	219598.913	102421.09	9569.53	6583.48	81.59
OliveGIS	08Feb21	4:07:36-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	1972	2544.4	3	8667.5	8729.6	138	1	238	2734.2	506.8	0	0	0	27100.72	165362.38	143975.993	39767.32	5935.85	5940.6	65.51
OliveGIS	08Feb21	4:07:43-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.35	1	730	12	30	1972	2620.1	0.6	7927.5	8264.5	130	1	144.9	2304.8	496.7	0	0	0	24229.25	115185.3	47535.08	20185.54	5263.86	6100.87	70.77
OliveGIS	08Feb21	4:07:50-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	1972	2645.5	0	6327.6	6754.2	112	1	65.8	2064.9	557.7	0	0	0	19582.08	98778.27	47304.157	15431.4	5553.31	5346.04	75.7
OliveGIS	08Feb21	4:07:57-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.05	1	730	12	30	1972	2608.5	1	7206.7	7854.5	127	1	135.9	2085.4	481	0	0	0	13168.88	66542.41	26296.521	11068.1	3598.5	4805.99	58.73
