Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:06:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	1	365	12	31	1971	2327	6.4	3305.97	3369.19	145	398.4	2849.0	0.000	0.0	0.0	13276.04	79569.87	291508.102	26964.18	2854.51	2453.12	70.32	0	0	0	0	0	0	0	0	0	1	475.5
OliveGIS	08Feb21	4:06:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	2	1	730	12	30	1972	2267	2.6	7349.74	7444.37	153	372.1	3019.3	0.000	0.0	0.0	26899.74	187575.53	245909.303	19629.24	6148.43	4661.62	61.61	0	0	0	0	0	0	0	0	0	1	581.2
OliveGIS	08Feb21	4:06:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	3	1	1096	12	31	1973	2403	1.9	6203.42	6200.51	130	273.2	3080.6	0.000	0.0	0.0	33451.13	204202.08	248024.840	89875.03	7539.35	4975.60	77.34	0	0	0	0	0	0	0	0	0	1	641.0
OliveGIS	08Feb21	4:06:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	4	1	1461	12	31	1974	2236	5.6	5628.03	5738.82	136	389.9	3237.4	0.000	0.0	0.0	19567.84	125485.46	159314.873	78154.07	4148.35	3801.87	63.91	0	0	0	0	0	0	0	0	0	1	355.0
OliveGIS	08Feb21	4:06:31-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	5	1	1826	12	31	1975	2549	3.9	6214.86	6338.75	149	374.4	2589.0	0.000	0.0	0.0	30162.93	190019.57	212009.530	38963.47	7225.62	4983.19	75.92	0	0	0	0	0	0	0	0	0	1	432.3
OliveGIS	08Feb21	4:06:31-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	6	1	2191	12	30	1976	2460	8.0	6586.47	6718.06	144	357.7	2829.5	0.000	0.0	0.0	32948.89	238387.42	243133.822	49617.99	6962.93	5024.19	73.19	0	0	0	0	0	0	0	0	0	1	446.3
OliveGIS	08Feb21	4:06:31-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	7	1	2557	12	31	1977	2441	3.9	6274.36	6288.95	144	318.9	2906.7	0.000	0.0	0.0	25235.28	150619.68	192276.459	53754.16	5372.11	4552.61	70.62	0	0	0	0	0	0	0	0	0	1	512.8
OliveGIS	08Feb21	4:06:31-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	8	1	2922	12	31	1978	2646	5.6	5725.55	5797.70	130	307.3	2531.7	0.000	0.0	0.0	23153.81	122624.92	81316.466	42773.20	5228.07	4697.52	76.60	0	0	0	0	0	0	0	0	0	1	335.6
OliveGIS	08Feb21	4:06:32-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	9	1	3287	12	31	1979	2502	2.4	6855.42	6959.68	147	274.4	2903.2	0.000	0.0	0.0	38295.10	280445.32	262013.805	40846.55	8174.09	5145.92	72.84	0	0	0	0	0	0	0	0	0	1	558.9
OliveGIS	08Feb21	4:06:32-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	10	1	3652	12	30	1980	2496	1.6	6550.29	6514.13	138	269.1	2851.2	0.000	0.0	0.0	31378.82	194415.56	279621.551	81864.07	6393.31	4825.51	72.26	0	0	0	0	0	0	0	0	0	1	322.7
OliveGIS	08Feb21	4:06:32-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	11	1	4018	12	31	1981	2499	2.9	6012.55	6052.80	128	288.5	2971.4	0.000	0.0	0.0	28099.46	160031.52	190601.538	65778.94	5911.68	4803.75	76.31	0	0	0	0	0	0	0	0	0	1	369.9
OliveGIS	08Feb21	4:06:32-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	12	1	4383	12	31	1982	2490	5.3	6207.33	6221.49	146	331.1	2830.3	0.000	0.0	0.0	28880.42	190243.63	192187.921	55949.76	6320.84	4749.59	74.42	0	0	0	0	0	0	0	0	0	1	464.4
OliveGIS	08Feb21	4:06:33-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	13	1	4748	12	31	1983	2426	5.6	5876.28	5931.49	138	288.1	2899.3	0.000	0.0	0.0	29446.98	186765.29	169218.128	46629.45	5845.85	4774.24	77.53	0	0	0	0	0	0	0	0	0	1	263.8
OliveGIS	08Feb21	4:06:33-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	14	1	5113	12	30	1984	2467	5.1	6536.75	6594.44	145	358.9	2774.7	0.000	0.0	0.0	30071.34	184168.94	230528.030	45165.03	6534.27	4979.85	73.68	0	0	0	0	0	0	0	0	0	1	187.6
OliveGIS	08Feb21	4:06:33-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	15	1	5479	12	31	1985	2630	2.2	5813.28	5789.86	129	335.9	2435.7	0.000	0.0	0.0	26760.90	139822.40	105556.161	31952.78	5831.46	4912.27	80.16	0	0	0	0	0	0	0	0	0	1	357.0
OliveGIS	08Feb21	4:06:33-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	16	1	5844	12	31	1986	2401	12.2	7197.09	7256.57	158	384.3	2785.9	0.000	0.0	0.0	12248.96	80511.22	86437.499	10446.81	2323.57	2716.61	36.94	0	0	0	0	0	0	0	0	0	1	566.3
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	17	1	6209	12	31	1987	2555	9.3	7676.74	7665.55	138	356.2	2581.2	0.000	0.0	0.0	36249.63	224628.95	233915.576	47404.76	7438.06	5811.71	72.41	0	0	0	0	0	0	0	0	0	1	480.7
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	18	1	6574	12	30	1988	2611	1.3	6433.20	6503.27	127	265.2	2581.5	0.000	0.0	0.0	33492.14	178363.19	129589.034	66229.06	6632.45	5532.38	80.38	0	0	0	0	0	0	0	0	0	1	303.2
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	19	1	6940	12	31	1989	2584	11.4	6314.42	6427.95	139	411.7	2534.8	0.000	0.0	0.0	25886.27	204363.97	160530.136	44410.22	5856.75	4812.19	71.61	0	0	0	0	0	0	0	0	0	1	467.1
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	20	1	7305	12	31	1990	2288	2.4	6235.38	6386.42	141	267.4	3275.6	0.000	0.0	0.0	35151.90	216039.24	254238.618	59972.56	6915.22	4875.37	74.20	0	0	0	0	0	0	0	0	0	1	750.4
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	21	1	7670	12	31	1991	2593	7.7	5186.69	5244.90	137	375.0	2460.0	0.000	0.0	0.0	22279.64	130731.94	173599.119	45359.06	5503.94	4290.55	76.87	0	0	0	0	0	0	0	0	0	1	370.6
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	22	1	8035	12	30	1992	2397	9.3	6325.87	6413.91	119	347.6	2950.0	0.000	0.0	0.0	29881.79	165252.37	171429.387	56908.04	6438.93	5129.98	77.06	0	0	0	0	0	0	0	0	0	1	451.8
OliveGIS	08Feb21	4:06:35-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	23	1	8401	12	31	1993	2596	0.7	5201.16	5715.53	134	257.9	2708.4	0.000	0.0	0.0	27870.80	176061.86	148414.118	43160.47	5782.82	4726.13	77.97	0	0	0	0	0	0	0	0	0	1	501.1
