Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.15	1	730	12	30	1972	2266.9	2.6	7349.7	7444.4	153	1	330	3019.3	581.2	0	0	0	26899.74	187575.53	245909.303	19629.24	6148.43	4661.62	61.61
OliveGIS	08Feb21	4:06:37-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	1972	2619.2	1.1	6925.1	7453.1	140	1	182.1	2431.9	409.9	0	0	0	23751.84	141894.38	74381.768	21282.66	5872.59	5388.75	69.64
OliveGIS	08Feb21	4:06:44-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	1972	1960.1	8.2	8192.2	9050.3	166	1	426.6	3284.7	490.9	0	0	0	31881.36	320223.57	205556.757	14613.05	4554.86	4704.7	51.07
OliveGIS	08Feb21	4:06:50-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.25	1	730	12	30	1972	2636.4	0.1	6842.8	7333.2	119	1	131.2	2228.1	581.1	0	0	0	16502.24	82421.85	32964.189	8416.86	4024.92	4945.68	64.66
OliveGIS	08Feb21	4:06:57-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.75	1	730	12	30	1972	1845.8	17	4899	5828	172	1	513.2	3365.3	525.1	0	0	0.1	16175.09	136267.78	95135.186	10401.19	1773.2	2388.47	39.69
OliveGIS	08Feb21	4:07:02-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	1972	2643.2	0	6029.1	6009.5	114	1	19	2896.5	700.6	0	0	0	40001.05	223702.78	172531.399	128333.2	11355.63	5717.74	88.95
OliveGIS	08Feb21	4:07:08-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	1972	2635.4	0	6368.6	6468.3	125	1	100	2756.7	388.8	0	0	0	31817.67	178616.45	108835.412	64921.82	7508.75	5569.93	81.42
OliveGIS	08Feb21	4:07:15-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	1972	2607.9	2.5	6872.8	7272.8	146	1	294.3	2550.3	401.8	0	0	0	21921.11	147333.33	193225.778	15091.28	5669.2	4801.75	63.45
OliveGIS	08Feb21	4:07:22-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	1972	2648	0	6554.7	6756.1	114	1	55.6	2483.1	520.2	0	0	0	28303.22	146669.31	78443.81	35848.73	7585.09	5873.15	82.38
OliveGIS	08Feb21	4:07:28-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	1972	2422.7	0	6070.7	6160.8	141	1	154.6	3126.8	379.9	0	0	0	32809.97	191878.57	226144.613	95105.69	8071.49	5165.13	80.82
OliveGIS	08Feb21	4:07:35-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	1972	2413.3	1	7513.3	7511.1	147	1	258.3	2934.7	602.8	0	0	0	26550.12	172881.49	223383.787	38218.7	6415.71	4905.78	64.31
OliveGIS	08Feb21	4:07:42-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.35	1	730	12	30	1972	2629.4	0.5	6189.1	6322.4	135	1	178.5	2595.3	619.5	0	0	0	24637.87	153340.22	113976.266	30565.62	5912.86	4782.28	72.32
OliveGIS	08Feb21	4:07:49-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	1972	2635.2	0	6889	7266.1	112	1	90.8	2198.6	511.3	0	0	0	17860.45	90566.31	38466.126	11198.01	4565.76	5182.97	68.36
OliveGIS	08Feb21	4:07:56-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.05	1	730	12	30	1972	2634	1	6093.1	6577.9	130	1	160.4	2358.5	478.6	0	0	0	16744.04	85492.91	34726.704	11169.08	3908.68	4576.67	66.67
OliveGIS	08Feb21	4:08:03-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_739_739_ESP-AN.txt	-2.9501	36.95	1	730	12	30	1972	1921.8	1.7	3477.9	4059.8	169	1	395.8	3443.9	491.5	0	0	0	20753.94	167205.51	211159.047	31686.94	3700.7	2880.29	67.8
OliveGIS	08Feb21	4:08:09-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_577_577_ESP-AN.txt	-3.9501	37.65	1	730	12	30	1972	2375.2	6.6	8193	8568.1	154	1	351.9	2765.8	584.9	0	0	0	25214.62	194180.88	227298.934	20507.49	5897.06	4878.92	56.36
OliveGIS	08Feb21	4:08:14-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.25	1	730	12	30	1972	2647.2	0	122.6	124.1	108	1	50.9	2051.2	307.6	0	0	0	554.98	2660.9	1325.681	1130.68	139.09	114.14	84.25
OliveGIS	08Feb21	4:08:22-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_694_694_ESP-AN.txt	-3.2501	37.55	1	730	12	30	1972	1904.2	14.7	7999.7	9160.5	171	1	531.6	3213.9	551.9	0	0	0	24280.36	212462.88	104527.102	9065.71	2404.09	3296.63	35.31
OliveGIS	08Feb21	4:08:27-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_856_856_ESP-AN.txt	-2.2501	37.45	1	730	12	30	1972	2057	1.6	6551.4	7014.6	159	1	315.8	3363.5	452.4	0	0	0	31515.16	255976.24	259263.025	31774.37	6036.12	4655.15	64.65
OliveGIS	08Feb21	4:08:33-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_775_775_ESP-AN.txt	-2.7501	36.95	1	730	12	30	1972	1610.8	12.1	5140.4	7666.8	180	1	578	3676.2	514.9	0	0	0	22360.85	156241.02	187731.143	23128.5	2827.71	3051.23	37.87
OliveGIS	08Feb21	4:08:37-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_379_379_ESP-AN.txt	-5.0501	38.65	1	730	12	30	1972	2562.6	3.6	6669.5	7163.7	147	1	297.4	2635.2	591.3	0	0	0	20787.95	143242.6	205833.727	16611.96	5407.59	4501.36	61.22
OliveGIS	08Feb21	4:08:44-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_298_298_ESP-AN.txt	-5.3501	37.25	1	730	12	30	1972	2627.3	0.5	6341.7	6606	130	1	164.5	2489.4	571.2	0	0	0	23296.7	126239.5	70074.853	25741.61	5600.48	5039.86	73.23
OliveGIS	08Feb21	4:08:50-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_838_838_ESP-AN.txt	-2.3501	36.85	1	730	12	30	1972	2651.6	0	176.9	180.3	109	1	24.4	2228.9	375	0	0	0	872.88	4448.97	2585.083	2936.19	240.03	167.86	85.76
OliveGIS	08Feb21	4:08:58-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_120_120_ESP-AN.txt	-6.2501	37.55	1	730	12	30	1972	2632	0.1	6749	7099.3	123	1	125.8	2337.3	494.1	0	0	0	20170.09	103594.31	45419.752	15538.89	5090.91	5317.19	71.67
OliveGIS	08Feb21	4:09:05-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_676_676_ESP-AN.txt	-3.3501	37.45	1	730	12	30	1972	1878.6	14	9355.6	10876.7	172	1	563.3	3167.3	466.8	0	0	0	17582.41	149359.86	69901.578	6118.59	1704.03	2548.35	23.04
