Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:07:20-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	2032	2641.7	0.1	8140.4	8375	111	1	96.9	2067.7	482.6	0	0	0	24988.77	132746.51	61114.129	17634.84	6559.46	6381.57	72.85
OliveGIS	08Feb21	4:07:27-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2032	2618.7	3.7	6939.2	8286	120	1	193.9	1726	395.6	0	0	0	11672.65	61713.71	22491.63	5833.13	3252.13	4418.79	50.88
OliveGIS	08Feb21	4:07:34-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	2032	2353.8	7.4	7936.4	8081	158	1	359.7	2775.5	253.6	0	0	0	38294.78	247931.06	347846.026	58077.66	9658.99	5924.99	72.45
OliveGIS	08Feb21	4:07:41-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.25	1	730	12	30	2032	2628.1	0.6	7892.5	9105	98	1	131.3	1524.4	658.2	0	0	0	14759.43	76803.44	31730.314	9726.16	4561.87	5712.14	59.89
OliveGIS	08Feb21	4:07:49-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	2032	2631.2	0	7277.5	8024.5	105	1	101.4	2249.5	664.2	0	0	0	25878.42	135783.18	64814.448	22147.77	7026.17	6405.81	76.16
OliveGIS	08Feb21	4:07:56-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2032	2646.5	0	7691	7750.5	100	1	28.7	2332	873.5	0	0	0	39423.38	212693.47	141563.39	65963.2	11880.71	7148.28	86.48
OliveGIS	08Feb21	4:08:02-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2032	2630.7	0	7277.1	7850	103	1	85.2	2341	739.4	0	0	0	29225.84	153959.14	77671.827	28995.05	7892.9	6579.4	79.51
OliveGIS	08Feb21	4:08:09-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2032	2611.9	5.9	7103.8	8394.8	129	1	231.3	1905.6	426.8	0	0	0	18232.2	96605.47	39820.613	11701.73	4481.39	5333.72	61.02
OliveGIS	08Feb21	4:08:16-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	2032	2612.3	0	6970.2	7101.8	137	1	123.9	2524.1	183.4	0	0	0	38861.35	234258.59	191650.441	108564.74	11436.65	6267.49	84.11
OliveGIS	08Feb21	4:08:23-PM	/filesystem/6f6fb888-b687-4a54-9e01-d66eb430665b/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	2032	2632.8	0	9151.4	10424.9	95	1	86.4	1560	638.5	0	0	0	20895.88	104542.81	45365.65	14926.35	6309.37	7237.08	66.62
