Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:07:10-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	1	365	12	31	2031	2657	0.0	5293.21	5320.44	103	56.5	1646.4	0.000	0.0	0.0	18976.00	88873.19	149779.121	65477.76	4906.78	4685.68	80.31	0	0	0	0	0	0	0	0	0	1	300.2
OliveGIS	08Feb21	4:07:10-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	2	1	730	12	30	2032	2654	0.0	9310.38	9661.57	105	78.9	1975.3	0.000	0.0	0.0	20865.80	102113.46	41476.248	10656.54	5469.06	6700.10	66.26	0	0	0	0	0	0	0	0	0	1	427.3
OliveGIS	08Feb21	4:07:11-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	3	1	1096	12	31	2033	2656	0.0	9266.82	9571.56	95	80.2	1455.4	0.000	0.0	0.0	21567.43	108395.68	47255.624	16397.14	6329.34	7041.64	69.70	0	0	0	0	0	0	0	0	0	1	175.9
OliveGIS	08Feb21	4:07:11-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	4	1	1461	12	31	2034	2644	0.0	9801.29	10049.51	98	78.7	1548.0	0.000	0.0	0.0	25617.99	124823.30	54731.593	18023.75	7113.93	7678.25	72.92	0	0	0	0	0	0	0	0	0	1	405.5
OliveGIS	08Feb21	4:07:11-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	5	1	1826	12	31	2035	2663	0.0	8005.54	8087.07	100	51.6	1437.4	0.000	0.0	0.0	17818.72	90280.95	39317.946	11830.41	5321.52	5924.47	69.66	0	0	0	0	0	0	0	0	0	1	260.4
OliveGIS	08Feb21	4:07:11-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	6	1	2191	12	30	2036	2644	0.0	9209.92	9170.31	111	57.8	1715.2	0.000	0.0	0.0	15495.81	76110.33	28774.228	6793.69	3964.16	5561.91	58.09	0	0	0	0	0	0	0	0	0	1	372.5
OliveGIS	08Feb21	4:07:11-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	7	1	2557	12	31	2037	2654	0.0	9675.72	9984.46	92	50.9	1373.2	0.000	0.0	0.0	23063.67	116280.35	52067.963	16370.53	7015.68	7458.67	71.29	0	0	0	0	0	0	0	0	0	1	262.1
OliveGIS	08Feb21	4:07:12-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	8	1	2922	12	31	2038	2663	0.0	8849.14	9099.96	97	69.4	1627.6	0.000	0.0	0.0	16760.40	83892.97	33736.082	8803.45	4631.21	5920.36	62.23	0	0	0	0	0	0	0	0	0	1	467.2
OliveGIS	08Feb21	4:07:12-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	9	1	3287	12	31	2039	2660	0.0	9111.02	9291.88	100	60.3	1789.1	0.000	0.0	0.0	21832.77	107587.62	45507.991	13108.85	5874.74	6775.96	69.41	0	0	0	0	0	0	0	0	0	1	321.1
OliveGIS	08Feb21	4:07:12-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	10	1	3652	12	30	2040	2652	0.0	8839.20	9117.41	100	94.6	1529.9	0.000	0.0	0.0	19600.04	97291.26	40605.087	11765.16	5397.89	6454.14	67.31	0	0	0	0	0	0	0	0	0	1	291.2
