Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:53-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	2032	2638	0	7912.6	8213.3	109	1	70.2	1889.9	505.4	0	0	0	23253	112690.81	50656.129	29476.36	6393.81	6566.48	75.59
OliveGIS	08Feb21	4:07:02-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.15	1	730	12	30	2032	2579.1	4.9	5970.4	5976.8	137	1	231.2	2753.5	606.5	0	0	0	29553.67	215830.16	195464.593	50540.51	6751.32	4769.78	76.76
OliveGIS	08Feb21	4:07:10-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2032	2629.3	0.8	6003.9	6851	119	1	120.5	1898	442.6	0	0	0	10017.27	51302.11	20350.251	6870.5	2764.85	3816.24	53.25
OliveGIS	08Feb21	4:07:20-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	2032	2280.3	12.6	6482	6683.7	152	1	348.9	2998.3	277.6	0	0	0	31652.88	205125.14	313716.857	44992.29	7811.96	5080.12	74.5
OliveGIS	08Feb21	4:07:26-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2032	2652.7	0	6935.2	7128.5	99	1	14.6	2151.8	716.2	0	0	0	35177.27	185733.18	122246.47	67679.47	10680.36	6547.39	86.36
OliveGIS	08Feb21	4:07:33-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2032	2630.5	0	7371.5	7618.9	107	1	54.1	2188	548.3	0	0	0	25772.86	129760.26	63249.233	23635.56	6830.35	6187.4	77.54
OliveGIS	08Feb21	4:07:41-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2032	2620.2	1.9	6048.8	6771.1	127	1	153.5	2061.4	407.5	0	0	0	12228.1	61056.89	23995.728	11322.12	3093.64	4135.39	58.61
OliveGIS	08Feb21	4:07:50-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	2032	2661.8	0	7174.6	7437.8	99	1	42.4	1906	856	0	0	0	28818.88	153497.11	88490.123	31339.8	8806.42	6378.15	81.62
OliveGIS	08Feb21	4:07:59-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	2032	2625.5	0	6174.6	6428.6	118	1	88.2	2445	173.5	0	0	0	33296.52	179938.06	114967.557	96256.22	8913.77	5854.67	85.27
OliveGIS	08Feb21	4:08:06-PM	/filesystem/2fac84d1-888b-469b-b7c1-e4f93e34e548/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	2032	2621.9	1.6	6635.9	6696.3	126	1	148.9	2517.2	645.3	0	0	0	29527.55	180035.12	119779.129	55542.41	7624.8	5612.39	79.38
