Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:08:04-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	2072	2665.6	0	8660.1	8903.3	95	1	28.1	1512.3	259.6	0	0	0	19837.14	101014.45	44233.389	13409.83	6004.49	6542.11	70.13
OliveGIS	08Feb21	4:08:12-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.15	1	730	12	30	2072	2628.5	0.1	6305.4	7232.7	126	1	125.8	2251.2	399.1	0	0	0	10412.98	52353.46	19591.975	6110.78	2828.31	4065.92	53.85
OliveGIS	08Feb21	4:08:19-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2072	2640.5	0	5947	8811.7	109	1	67.8	1234.4	268.3	0	0	0	301.4	1513.77	605.508	227.3	128.59	224.59	1.79
OliveGIS	08Feb21	4:08:39-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	2072	2612.1	1.2	6804.9	7421.6	140	1	168.8	2414.8	210.4	0	0	0	23122.1	131710.84	65891.4	26063.74	5822.97	5461.49	70.62
OliveGIS	08Feb21	4:08:46-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.25	1	730	12	30	2072	2671	0	8004.1	10009.4	90	1	31.9	970.1	410.4	0	0	0	2430.42	12816.76	4830.946	1768.42	817.54	1631.44	14.89
OliveGIS	08Feb21	4:09:15-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.75	1	730	12	30	2072	2612.6	1.1	6614.4	7718	149	1	211.7	2253.1	231.1	0	0	0	21436.51	129377.81	64326.826	19236.16	5294.69	5179.37	64.73
OliveGIS	08Feb21	4:09:22-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	2072	2666.6	0	7804.2	8824.6	99	1	29.9	1633.3	418.7	0	0	0	9429.99	52038.95	20698.105	5952.47	3275.54	4537.33	49.1
OliveGIS	08Feb21	4:09:33-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_685_685_ESP-AN.txt	-3.3501	38.35	1	730	12	30	2072	2626	0.2	5237.7	7895.1	132	1	142.7	1627.7	273.5	0	0	0	108.52	631.73	290.399	165.87	98	150.51	0.86
OliveGIS	08Feb21	4:09:43-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2072	2690.7	0	9218.7	9383.9	85	1	2.3	1674.2	395.7	0	0	0	39776.66	193141.9	98510.654	33878.64	10740.41	8231	83.43
OliveGIS	08Feb21	4:09:51-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_586_586_ESP-AN.txt	-3.8501	36.95	1	730	12	30	2072	2618.3	0.6	6394.8	7342.4	145	1	222.2	2448.7	293.6	0	0	0	21720.42	127928.06	70226.922	27737.65	5271.9	5015.87	65.64
OliveGIS	08Feb21	4:09:58-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2072	2673.3	0	7561.3	8278.6	95	1	20.6	1645.2	413.6	0	0	0	13458.53	71163.96	29559.437	8559.51	4306.25	5319.39	61.42
OliveGIS	08Feb21	4:10:08-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2072	2640.4	0	5732.6	8510.4	113	1	92	1420.4	268.5	0	0	0	162	824.09	363.646	159.1	89.31	152.36	0.97
OliveGIS	08Feb21	4:10:23-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	2072	2633.5	0	7964	8446	113	1	50.9	1853.3	141.6	0	0	0	16902.43	87167.63	37190.083	11267.23	5053.37	5909.49	66.87
OliveGIS	08Feb21	4:10:31-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	2072	2642.3	0	6789.5	7718.9	113	1	91	2057.9	418.2	0	0	0	6943.17	35701.39	13139.802	5608.28	2090.81	3377.87	41.66
