Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:08:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	1	365	12	31	2071	2685	0.0	6787.90	6941.03	96	66.2	729.7	0.000	0.0	0.0	22863.22	111892.16	149555.384	74663.86	6537.72	6015.40	79.29	0	0	0	0	0	0	0	0	0	1	311.2
OliveGIS	08Feb21	4:08:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	2	1	730	12	30	2072	2648	0.0	8665.19	8857.84	100	70.8	1695.0	0.000	0.0	0.0	13936.86	69118.48	25611.927	6217.94	3704.20	5261.31	56.39	0	0	0	0	0	0	0	0	0	1	343.4
OliveGIS	08Feb21	4:08:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	3	1	1096	12	31	2073	2657	0.0	8207.35	8335.35	101	80.2	1605.4	0.000	0.0	0.0	19821.54	97894.32	41839.478	12760.39	5470.88	6196.46	70.38	0	0	0	0	0	0	0	0	0	1	585.3
OliveGIS	08Feb21	4:08:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	4	1	1461	12	31	2074	2663	0.0	7973.53	8162.59	99	65.4	985.7	0.000	0.0	0.0	10728.95	60742.83	25301.908	7979.27	3918.73	4877.48	56.92	0	0	0	0	0	0	0	0	0	1	290.8
OliveGIS	08Feb21	4:08:13-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	5	1	1826	12	31	2075	2677	0.0	8789.51	9001.58	99	69.1	1201.4	0.000	0.0	0.0	16172.62	85643.05	36905.451	10727.12	5208.56	6103.21	64.76	0	0	0	0	0	0	0	0	0	1	301.7
OliveGIS	08Feb21	4:08:13-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	6	1	2191	12	30	2076	2645	0.1	8979.07	9602.57	95	67.6	1083.7	0.000	0.0	0.0	15781.84	83643.44	35835.213	10559.05	5127.45	6251.13	62.10	0	0	0	0	0	0	0	0	0	1	328.5
OliveGIS	08Feb21	4:08:13-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	7	1	2557	12	31	2077	2643	0.0	9005.50	9383.04	104	72.0	1617.3	0.000	0.0	0.0	17556.96	87566.72	35264.299	8897.55	4795.25	6144.20	62.64	0	0	0	0	0	0	0	0	0	1	304.5
OliveGIS	08Feb21	4:08:13-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	8	1	2922	12	31	2078	2663	0.0	8734.54	9075.30	98	32.4	1455.2	0.000	0.0	0.0	21191.12	105685.19	46120.190	14032.96	6111.20	6718.33	70.79	0	0	0	0	0	0	0	0	0	1	357.4
OliveGIS	08Feb21	4:08:14-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	9	1	3287	12	31	2079	2766	0.0	10932.36	11226.78	72	4.9	165.2	0.000	0.0	0.0	26533.94	131427.31	57710.041	17276.59	7690.82	8330.28	71.08	0	0	0	0	0	0	0	0	0	1	553.5
OliveGIS	08Feb21	4:08:14-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	10	1	3652	12	30	2080	2693	0.0	10138.67	10273.76	84	20.6	791.1	0.000	0.0	0.0	15676.82	83384.80	34425.706	9152.25	5012.04	6256.95	58.25	0	0	0	0	0	0	0	0	0	1	270.1
