cat	SCALERANK	NATSCALE	LABELRANK	FEATURECLA	NAME	NAMEPAR	NAMEALT	DIFFASCII	NAMEASCII	ADM0CAP	CAPIN	WORLDCITY	MEGACITY	SOV0NAME	SOV_A3	ADM0NAME	ADM0_A3	ADM1NAME	ISO_A2	NOTE	LATITUDE	LONGITUDE	CHANGED	NAMEDIFF	DIFFNOTE	POP_MAX	POP_MIN	POP_OTHER	RANK_MAX	RANK_MIN	GEONAMEID	MEGANAME	LS_NAME	LS_MATCH	CHECKME	MAX_POP10	MAX_POP20	MAX_POP50	MAX_POP300	MAX_POP310	MAX_NATSCA	MIN_AREAKM	MAX_AREAKM	MIN_AREAMI	MAX_AREAMI	MIN_PERKM	MAX_PERKM	MIN_PERMI	MAX_PERMI	MIN_BBXMIN	MAX_BBXMIN	MIN_BBXMAX	MAX_BBXMAX	MIN_BBYMIN	MAX_BBYMIN	MIN_BBYMAX	MAX_BBYMAX	MEAN_BBXC	MEAN_BBYC	COMPARE	GN_ASCII	FEATURE_CL	FEATURE_CO	ADMIN1_COD	GN_POP	ELEVATION	GTOPO30	TIMEZONE	GEONAMESNO	UN_FID	UN_ADM0	UN_LAT	UN_LONG	POP1950	POP1955	POP1960	POP1965	POP1970	POP1975	POP1980	POP1985	POP1990	POP1995	POP2000	POP2005	POP2010	POP2015	POP2020	POP2025	POP2050	CITYALT	min_zoom	wikidataid	wof_id	CAPALT	name_en	name_de	name_es	name_fr	name_pt	name_ru	name_zh	label	name_ar	name_bn	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_sv	name_tr	name_vi	wdid_score	ne_id
1	10	1	8	Admin-1 capital	Colonia del Sacramento			0	Colonia del Sacramento	0.0		0.0	0	Uruguay	URY	Uruguay	URY	Colonia	UY		-34.4799990054	-57.8400024734	4.0	1	Added missing admin-1 capital. Population from GeoNames.	21714	21714	0	7	7	3443013.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Colonia del Sacramento	P	PPL	4.0	21714.0	0.0	28.0	America/Montevideo	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q56064	421199749.0	0	Colonia del Sacramento	Colonia del Sacramento	Colonia del Sacramento	Colonia del Sacramento	Colónia do Sacramento	Колония-дель-Сакраменто	科洛尼亞德爾薩克拉門托			কোলোনিয়া দেল সাক্রামেন্তো	Κολόνια ντελ Σακραμέντο		Colonia del Sacramento		Colonia del Sacramento	コロニア・デル・サクラメント	콜로니아델사크라멘토	Colonia del Sacramento	Colonia del Sacramento	Colonia del Sacramento	Colonia del Sacramento	Colonia del Sacramento	4	1159112629
2	10	1	8	Admin-1 capital	Trinidad			0	Trinidad	0.0		0.0	0	Uruguay	URY	Uruguay	URY	Flores	UY		-33.5439989374	-56.9009965602	4.0	1	Added missing admin-1 capital. Population from GeoNames.	21093	21093	0	7	7	3439749.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Trinidad	P	PPL	6.0	21093.0	0.0	134.0	America/Montevideo	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q862508	890444639.0	0	Trinidad	Trinidad	Trinidad	Trinidad	Trinidad	Тринидад	特立尼達		ترينيداد، أوروغواي	ত্রিনিদাদ	Τρινιντάντ	त्रिनिडाड		Trinidad	Trinidad	トリニダ	트리니다드	Trinidad	Trinidad	Trinidad	Trinidad	Trinidad	4	1159112647
3	10	1	8	Admin-1 capital	Fray Bentos			0	Fray Bentos	0.0		0.0	0	Uruguay	URY	Uruguay	URY	Río Negro	UY		-33.1389990288	-58.3039974719	4.0	1	Added missing admin-1 capital. Population from GeoNames.	23279	23279	0	7	7	3442568.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Fray Bentos	P	PPL	12.0	23279.0	0.0	43.0	America/Montevideo	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q849835	890451703.0	0	Fray Bentos	Fray Bentos	Fray Bentos	Fray Bentos	Fray Bentos	Фрай-Бентос	弗賴本托斯		فراي بنتوس	ফ্রায় বেন্তোস	Φρέι Μπέντος	फ्राई बैन्टोस		Fray Bentos	Fray Bentos	フライ・ベントス	프라이벤토스	Fray Bentos	Fray Bentos	Fray Bentos	Fray Bentos	Fray Bentos	4	1159112663
4	10	1	8	Admin-1 capital	Canelones			0	Canelones	0.0		0.0	0	Uruguay	URY	Uruguay	URY	Canelones	UY		-34.5380040067	-56.2840014932	4.0	1	Added missing admin-1 capital. Population from GeoNames.	19698	19698	0	6	6	3443413.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Canelones	P	PPL	2.0	19698.0	0.0	29.0	America/Montevideo	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q841342	890444649.0	0	Canelones	Canelones	Canelones	Canelones	Canelones	Канелонес	卡內洛內斯		كانلونيس	কানেলোন্স	Κανελόνες	कैनेलोन्स		Canelones	Canelones	カネローネス	카넬로네스	Canelones	Canelones	Canelones	Canelones	Canelones	4	1159112679
5	10	1	8	Admin-1 capital	Florida			0	Florida	0.0		0.0	0	Uruguay	URY	Uruguay	URY	Florida	UY		-34.0990020052	-56.214998448	4.0	1	Added missing admin-1 capital. Population from GeoNames.	32234	32234	0	7	7	3442585.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Florida	P	PPL	7.0	32234.0	0.0	74.0	America/Montevideo	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q842472	890431207.0	0	Florida	Florida	Florida	Florida	Florida	Флорида	佛羅里達		فلوريدا، أوروغواي	ফ্লোরেিডা	Φλορίδα	फ्लोरिडा		Florida	Florida	フロリダ	플로리다	Florida	Florida	Florida	Flordia	Florida	4	1159112703
6	10	1	8	Admin-1 capital	Bassar			0	Bassar	0.0		0.0	0	Togo	TGO	Togo	TGO	Kara	TG		9.26100006832	0.78900357378	4.0	1	Added missing admin-1 capital. Population from GeoNames.	61845	61845	0	8	8	2367568.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Bassar	P	PPL	5.0	61845.0	0.0	463.0	Africa/Lome	GeoNames match with ascii name + lat + long whole numbers.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q810474	421176889.0	0	Bassar	Bassar		Bassar	Bassar	Басар	巴萨		باسار				Bassar		Bassar			Bassar	Bassar				4	1159112719
7	10	1	8	Admin-1 capital	Sotouboua			0	Sotouboua	0.0		0.0	0	Togo	TGO	Togo	TGO	Centre	TG		8.55700213306	0.98499646233	4.0	1	Added missing admin-1 capital. Population from GeoNames.	21054	21054	0	7	7	2364079.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Sotouboua	P	PPL	22.0	21054.0	0.0	374.0	Africa/Lome	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q1120978	421191659.0	0	Sotouboua			Sotouboua	Sotouboua		索圖布阿		سوتاوبوا						Sotouboua			Sotouboua					4	1159112735
8	10	1	7	Admin-1 capital	Medenine			0	Medenine	0.0		0.0	0	Tunisia	TUN	Tunisia	TUN	MUdenine	TN		33.3999990025	10.4166995576	4.0	1	Added missing admin-1 capital.	61705	61705	0	8	8	-1.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0				0.0	0.0	0.0	0.0		No GeoNames match due to small population, not in GeoNames, or poor NEV placement.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		6.1	Q846653	1141905989.0	0	Medenine	Medenine	Médenine	Médenine	Médenine	Меденин	梅德寧		مدنين		Μαντανίγιν				Medenina	メドニン	메드닌	Médenine	Madanin		Medenin		4	1159112749
9	10	1	7	Admin-1 capital	Kebili			0	Kebili	0.0		0.0	0	Tunisia	TUN	Tunisia	TUN	Kebili	TN		33.6899970349	8.9710025379	4.0	1	Added missing admin-1 capital. Population from GeoNames.	19875	19875	0	6	6	2468018.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Kebili	P	PPL	31.0	19875.0	0.0	49.0	Africa/Tunis	Geonames ascii name + lat.d + long.d matching.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q27157	421201981.0	0	Kebili	Kebili		Kébili	Kebili		吉比利		ڨبلي		Κιμπιλί				Kébili		케빌리	Kébili	Kibili		Kabili		4	1159112765
10	10	1	7	Admin-1 capital	Tataouine			0	Tataouine	0.0		0.0	0	Tunisia	TUN	Tunisia	TUN	Tataouine	TN		33.0000031543	10.4667035894	4.0	1	Added missing admin-1 capital. Population from GeoNames.	62577	62577	0	8	8	2464701.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Tataouine	P	PPL	34.0	62577.0	0.0	247.0	Africa/Tunis	GeoNames match with ascii name + lat + long whole numbers.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		9.0	Q817149	421178871.0	0	Tataouine	Tataouine		Tataouine	Tataouine	Татавин	泰塔溫		تطاوين				Tataouine		Tataouine	タタウイヌ	타타우인	Tataouine	Tatawin	Tataouine	Tatavin		4	1159112779
